Time Frame,Repository,Issue Number,Issue Title,Author,Opened by Swedish,Total Comments,Commented by Swedish,Resolution Time (Days)
2022_2024,electron,37053,[Bug]: System tray fails in sandboxed Linux environment. Fixed in Chromium 9585757f9,TingPing,YES,5,YES,301
2018_2019,vue,8112,Autofocus is lost once vue is loaded,alfonsobries,NO,15,YES,1167
2018_2019,vue,7367,`v-model` did not handle CompositionEvent on Android,LeuisKen,YES,3,YES,63
2018_2019,vue,7361,Why using isAndroid check when adding composition event listener in v-model?,LeuisKen,YES,2,YES,0
2022_2024,kubernetes,123760,"[Flaking Test] [sig-network] Networking Granular Checks: Services should update endpoints: http (gce-ubuntu-master-containerd,master-blocking)",SubhasmitaSw,NO,5,YES,378
2022_2024,kubernetes,113006,Not possible to load an ephemeral container in a POD with runAsNonRoot:true,uablrek,YES,13,YES,463
2022_2024,kubernetes,122174,ClusterIP connections Reset (RST) after SYN-ACK,andreas-ibm,NO,6,YES,2
2022_2024,kubernetes,119131,No ICMP is received when connecting to a node without local PODs when externalTrafficPolicy:Local is used,Sunnatillo,NO,9,YES,525
2022_2024,kubernetes,112185,kube-proxy IPVS - Uncertain behavior on NodePort Entries,harshanarayana,NO,6,YES,298
2022_2024,kubernetes,115526,kube-proxy IPVS mode configured with method SourceHash and Maglev should evenly distribute connections to all endpoints,sondinht,NO,3,YES,9
2022_2024,kubernetes,121042,"kube-proxy ipvs: ""Failed to add IPVS service"" err=""no such file or directory""",chymy,NO,7,YES,387
2022_2024,kubernetes,111840,"kube-proxy modes ipvs and userspace do not serve requests to localhost, while mode iptables does",dilyanpalauzov,NO,8,YES,770
2022_2024,kubernetes,116419,NodeSelectorAsSelector needs to be fixed,aojea,NO,8,YES,546
2022_2024,kubernetes,124636,service.spec.externalIPs is unnecessarily limited (enhancement request),jan-g,NO,6,YES,104
2022_2024,kubernetes,123501,Allow admin to set the default bandwidth limit per port (network interface) for a container in a pod.,kundan2707,NO,4,YES,160
2022_2024,kubernetes,124290,long living TCP connections hang when pod behind a ClusterIP service is restart,RoadRunnr,NO,8,YES,111
2022_2024,kubernetes,122740,UDP connections of Services are not preserved after restarting kube-proxy,tnqn,NO,6,YES,187
2022_2024,kubernetes,122743,figure out / document nftables version requirements,danwinship,NO,3,YES,177
2022_2024,kubernetes,121371,Requests to a service with no local endpoints are dropped rather than ICMP rejected,chenlin2001,NO,9,YES,260
