Time Frame,Repository,Issue Number,Issue Title,Author,Opened by Swedish,Total Comments,Commented by Swedish,Resolution Time (Days)
2022_2024,youtube-dl,32724,motherless.com HTTP Error 403: Forbidden ,Iridium-Lo,NO,2,NO,360
2022_2024,youtube-dl,31007,Unsupported URL (CAMBRO.tv),fooo2021,NO,1,NO,984
2022_2024,youtube-dl,32815,"[YouTube] Error 403 when downloading, with ""Unable to decode n-parameter"", not solved by new cookies",GregoriusT,NO,11,NO,3
2022_2024,youtube-dl,32826,[Youtube] download error: Unable to extract yt initial data,TataneSan,NO,3,NO,200
2022_2024,youtube-dl,32088,video.ibm.com/embed/ not working.,michaelnoe,NO,4,NO,605
2022_2024,youtube-dl,31535,Youtube-dl is fried; do I update to yt-dlp?,MintKakapo,NO,13,NO,2
2022_2024,youtube-dl,31211,Support for w24.at,tobidope,NO,0,NO,846
2022_2024,youtube-dl,31438,"YouTube blocking: 加上--proxy ""socks5://127.0.0.1:11223""依旧出现 由于目标计算机积极拒绝，无法连接",9leaa,NO,3,NO,14
2022_2024,youtube-dl,31164,"[YouTube] When running without --verbose, … (No terminating paren } in {var b=a.split(""""),…",mk-pmb,NO,8,NO,2
2022_2024,youtube-dl,31867,Unable to extract uploader id,sumonst21,NO,4,NO,0
2022_2024,youtube-dl,32686,"I request a re-publish of the latest version for pip, or just increase the version number and publish.",AntiMoron,NO,5,NO,1
2022_2024,youtube-dl,32410,[ITV] ERROR: Unable to extract params ('Unable to extract %s' % _name),Qiangong2,NO,5,NO,478
2022_2024,youtube-dl,32800,/usr/local/bin/youtube-dl: 2: Syntax error: newline unexpected,ThePrivacyPlayer,NO,3,NO,0
2022_2024,youtube-dl,32647,Unable to run youtube-dl : 1: syntax error near unexpected token `newline',sunbearc22,NO,4,NO,0
2022_2024,youtube-dl,32673,"""Sign in to confirm your age"" error thrown when trying to download a particular YouTube video (vDmweKpVvEM)",corsican70,NO,4,NO,0
2022_2024,youtube-dl,31405,Faves,upintheairsheep,NO,2,NO,598
2022_2024,youtube-dl,31309,Support Archive.org playlists download,brauliobo,NO,2,NO,641
2022_2024,youtube-dl,31509, Unable to decode n-parameter: download likely to be throttled,paviad,NO,8,NO,1
2022_2024,youtube-dl,32798,"Error: ""Unsupported URL"" because of website change ORF ",FranzWinter61,NO,3,NO,14
2022_2024,youtube-dl,32450,[Security Advisory] File Downloader cookie leak,dirkf,NO,2,NO,350
2022_2024,youtube-dl,32814,'ERROR: too many positional arguments' while trying to download entire playlist,RagingRift,NO,2,NO,16
2022_2024,youtube-dl,32512,Any plans to release new version?🤔,kloczek,NO,2,NO,0
2022_2024,youtube-dl,32827,nightly not working in macOS: env: python: No such file or directory,superbonaci,NO,2,NO,0
2022_2024,youtube-dl,32791,403 when downloading youtube video clips,LikeMeThis,NO,2,NO,34
2022_2024,youtube-dl,32823,Error: Unable to extract uploader id,AsHfIEXE,NO,1,NO,0
2022_2024,youtube-dl,32822,"Due to a ruling of the Hamburg Regional Court, access to this website is blocked. when try to download",abdul202,NO,1,NO,0
2022_2024,youtube-dl,32821,Fix for issue #10046 seems not working for BFM business ,theedge456,NO,2,NO,0
2022_2024,youtube-dl,32737,"Issues to work on, apart from fixing typos in the documentation for a new contributor",KonstantineTzaferis,NO,3,NO,113
2022_2024,youtube-dl,32813,Unable to extract uploader id; ,rain1,NO,2,NO,0
2022_2024,youtube-dl,32818,No more compiled binaries for the patched version?,Rekrullurker,NO,2,NO,0
2022_2024,youtube-dl,32816,[YouTube] Broken site support fix,jakefrombay,NO,1,NO,2
2022_2024,youtube-dl,32817,Youtube: Unable to extract uploader id,udayb,NO,3,NO,0
2022_2024,youtube-dl,32819,Running latest source shows version as 2021-12-17,Pwner45,NO,2,NO,0
2022_2024,youtube-dl,32020,[ORF] mediathekview URL with country protection did not download,pinkzomo,NO,2,NO,415
2022_2024,youtube-dl,32807,"Court ruling, forked project, what is going on?",allanonmage,NO,1,NO,2
2022_2024,youtube-dl,32757,Mixcloud failing for below mentioned artist while working for many others tested,miroslav82,NO,2,NO,73
2022_2024,youtube-dl,32808,Dumb question: Technical difference between downloading a YouTube video and watching it?,Rekrullurker,NO,2,NO,0
2022_2024,youtube-dl,32805,I can't reach the download page!,Gobikeshan,NO,1,NO,0
2022_2024,youtube-dl,32803,Colab DownloadError: ERROR: [TikTok]: Unable to extract webpage video data; please report this issue ,EmmmaBot,NO,1,NO,0
2022_2024,youtube-dl,32794,Unable to extract uploader id,rusvet18,NO,1,NO,0
2022_2024,youtube-dl,32782,Parse Bilibili Videos - HTTP Error 403,thiliapr,NO,1,NO,4
2022_2024,youtube-dl,32793,"yt-dl.org is closed, see output message below:",robertnormanhiggins,NO,1,NO,0
2022_2024,youtube-dl,32766,Unable to extract uploader id,another-github-username,NO,4,NO,0
2022_2024,youtube-dl,32792,Unable to extract uploader id,ikus060,NO,1,NO,0
2022_2024,youtube-dl,32787,/usr/local/bin/youtube-dl: line 1: syntax error near unexpected token `newline' /usr/local/bin/youtube-dl: line 1: `<h1>Access denied</h1>',tenet-tenet,NO,1,NO,0
2022_2024,youtube-dl,32781,Rumble: Got error: HTTP Error 504: Gateway Time-out. Retrying (1/10)...,faxotherapy,NO,1,NO,0
2022_2024,youtube-dl,32756,ERROR: Unable to extract uploader id; ,liangzifei,NO,4,NO,0
2022_2024,youtube-dl,32772,Why not update the version number?,thiliapr,NO,2,NO,0
2022_2024,youtube-dl,31096,CLI option to DUMP [VideosPage/ChannelPage/Playlist] URL-Lists to text file using standalone/inclusive option,unityconstruct,NO,3,NO,651
2022_2024,youtube-dl,32778,downloading from udemy,ctamietto,NO,1,NO,1
2022_2024,youtube-dl,32779,YouTube ,FitsumKurabachew,NO,1,NO,0
2022_2024,youtube-dl,32777,discord.py music bot,RezaCyber3000,NO,1,NO,0
2022_2024,youtube-dl,32776,"Can't acess the link of ""download an .exe file""",Begun2703,NO,2,NO,0
2022_2024,youtube-dl,32771,android-(Bug) The following content is not available on this app. Watch this content on the latest version of YouTube,liaolingfen4,NO,2,NO,2
2022_2024,youtube-dl,32775,Video download fails with HTTP 421 error when downloading key file,svenop5,NO,1,NO,0
2022_2024,youtube-dl,32774,"DL fails ""unable to extract uploader id""",LexaGV,NO,1,NO,0
2022_2024,youtube-dl,32773,Download videos from xvideos.com,thiliapr,NO,1,NO,0
2022_2024,youtube-dl,32735,"External-downloader ""ffmpeg"" does not understand ffmpeg-location parameter",Murmur,NO,3,NO,29
2022_2024,youtube-dl,32076,Build youtube-dl from source,YoshiKill,NO,7,NO,5
2022_2024,youtube-dl,32770,Download fails youtube-dl-2021.12.17-2.el8.noarch,jpdonnell,NO,1,NO,0
2022_2024,youtube-dl,32768,I'd father's house ,Pipelexa,NO,1,NO,1
2022_2024,youtube-dl,32759,[bogus: wrong project] How do I best hook my stream discontinuity handler into ytdl?,mk-pmb,NO,2,NO,0
2022_2024,youtube-dl,32765,How to download the youtube number-only video,scihou-github,NO,1,NO,0
2022_2024,youtube-dl,31747,"Unable to download ... urlopen error [SSL: CERTIFICATE_VERIFY_FAILED], macOS 13.1, Py3.10",RaspChris,NO,5,NO,398
2022_2024,youtube-dl,32760,Broken subtitles. Timeline isn't correct. All subtitles grouped in two duplicate lines at the top of the VTT file,obana48,NO,2,NO,0
2022_2024,youtube-dl,31334,Please add support for bunkr.is,vallerydelexy,NO,2,NO,509
2022_2024,youtube-dl,31016,Caffeine support,DealsBeam,NO,2,NO,623
2022_2024,youtube-dl,32716,filemoon.sx jwplayer error,leetfin,NO,2,NO,34
2022_2024,youtube-dl,31311,Vimeo: RegexNotFoundError('Unable to extract %s' % _name),richlv,NO,7,NO,0
2022_2024,youtube-dl,32749,Unable to extract yt initial data,davidoiknine,NO,1,NO,0
2022_2024,youtube-dl,32753,Downloading video from https://vix.com/ has audio and image errors since the ad appears,itmevn007,NO,1,NO,0
2022_2024,youtube-dl,32754,unable extract uploader id,raja29x,NO,2,NO,0
2022_2024,youtube-dl,32547,ERROR: Unable to extract uploader id; please report this issue on https://yt-dl.org/bug ,eevelweezel,NO,1,NO,0
2022_2024,youtube-dl,32676,Unable to extract the uploader ID from YouTube videos,lehmanbro89,NO,5,NO,1
2022_2024,youtube-dl,32632,[YouTube] ERROR: Unable to extract uploader id,RAJxSENPAI,NO,3,NO,0
2022_2024,youtube-dl,32502,Unable to extract uploader id; please report this issue on https://yt-dl.org/bug.,eecom-glb,NO,0,NO,0
2022_2024,youtube-dl,32719,"Error when download video, ""Unable to extract uploader id""",Sepehr0Day,NO,4,NO,0
2022_2024,youtube-dl,32744,How to download to the windows equivalent of /dev/null for testing. (basically no output),franzkruhm,NO,1,NO,6
2022_2024,youtube-dl,32748,hls choice in format list,gabri25ele,NO,2,NO,0
2022_2024,youtube-dl,32746,Provide your logged-in browser session cookies?,AlexIs387,NO,1,NO,0
2022_2024,youtube-dl,32743,WARNING: unable to extract uploader id;,tianmingxing,NO,1,NO,0
