SHA,Message,Author,Date
4cd788aef03d8f32c03e4dac4d0cf28b220cedfb,"Revert ""Revert [Transition Tracing] Refactor Transition Tracing Root Code"" (#24830)

* refactor root

* old

* Add comments and push actual marker instance in pushMarkerInstance

* old

* refactor pushRootMarkerInstance

* old

* fix test",Luna Ruan,2022-06-30T17:16:08Z
e61fd91f5c523adb63a3b97375ac95ac657dc07f,"Revert ""[Transition Tracing] Refactor Transition Tracing Root Code (#24766)"" (#24829)

This reverts commit 401296310fbc6a9e769936eda6a6d0269e9c84d0 because it's
failing on main, likely due to conflict with something that landed before the
PR was merged. Need to rebase and fix.",Andrew Clark,2022-06-30T15:48:25Z
401296310fbc6a9e769936eda6a6d0269e9c84d0,"[Transition Tracing] Refactor Transition Tracing Root Code (#24766)

This PR refactors the transition tracing root code by reusing the tracing marker code. Namely it:
* Refactors the tracing marker code so that it takes a tracing marker instance instead of a tracing marker fiber and rename the stack to `markerInstance` instead of `tracingMarker`
* Pushes the root code onto the stack
* Moves the instantiation of `root.incompleteTransitions` to the begin phase when we are pushing the root to the stack rather than in the commit phase",Luna Ruan,2022-06-30T15:16:32Z
1859329021892484051339a76c2250fa4ca5f77e,"Track nearest Suspense handler on stack (#24585)

* [FORKED] Add HiddenContext to track if subtree is hidden

This adds a new stack cursor for tracking whether we're rendering inside
a subtree that's currently hidden.

This corresponds to the same place where we're already tracking the
""base lanes"" needed to reveal a hidden subtree — that is, when going
from hidden -> visible, the base lanes are the ones that we skipped
over when we deferred the subtree. We must includes all the base lanes
and their updates in order to avoid an inconsistency with the
surrounding content that already committed.

I consolidated the base lanes logic and the hidden logic into the same
set of push/pop calls.

This is intended to replace the InvisibleParentContext that is currently
part of SuspenseContext, but I haven't done that part yet.

* Add previous commit to forked revisions

* [FORKED] Track nearest Suspense handler on stack

Instead of traversing the return path whenever something suspends to
find the nearest Suspense boundary, we can push the Suspense boundary
onto the stack before entering its subtree. This doesn't affect the
overall algorithm that much, but because we already do all the same
logic in the begin phase, we can save some redundant work by tracking
that information on the stack instead of recomputing it every time.

* Add previous commit to forked revisions",Andrew Clark,2022-06-30T14:03:29Z
a7b192e0f16a5a585796c78cfdb688845d7710a5,"Add test gate alias for Offscreen (#24749)

Offscreen is only enabled in the www and experimental channels. Instead
of listing these on every Offscreen test, I added a test gate alias
called `enableOffscreen`. Makes it easier to grep for these, and edit or
remove the channels later.",Andrew Clark,2022-06-30T13:44:54Z
6b6cf8311c05a10667c852e833d6f7f51fa476c7,"Land forked reconciler changes (#24817)

This applies forked changes from the ""new"" reconciler to the ""old"" one.

Includes:

- d410f0a [FORKED] Bugfix: Offscreen instance is null during setState
- 58bb117 [FORKED] Check for infinite update loops even if unmounted
- 31882b5 [FORKED] Bugfix: Revealing a hidden update
- 17691ac [FORKED] Don't update childLanes until after current render",Andrew Clark,2022-06-30T03:31:42Z
4e1fcfa77175765a7d51d70a2e519569012593d8,"[DevTools] Resign Timeline Profiler Sidebar (#24816)

This PR:
* Redesigned the sidebar to resemble the flamegraph profiler sidebar and added title and timestamp to the sidebar
* Added ability to copy the component stack (for places where you're unable to link to source)

https://user-images.githubusercontent.com/2735514/176564897-5301d6d4-429a-4ea3-86cd-74427cff4ce6.mov",Luna Ruan,2022-06-30T00:54:06Z
1974d08c93ddf171779fde59215e8430f36d281a,"[DevTools] Fix Bugs With Component Stacks (#24815)

This PR:
* Simplifies the code in `SidebarEventInfo` by passing it the actual clicked event rather than an index.
* Lightly refactored the `SidebarEventInfo` code so that it can be used for more than just `schedulingEvents`
* Fixes bug. Previously, whenever a state update event was clicked, we updated the `selectedCommitIndex` in the `ProfilerContext`. However, this index is used for the selected commit in the Flamegraph profiler, which caused a bug where if you would change the contents of the event sidebar, the commit sidebar in the Flamegraph profiler would change too. This PR replaces this with the actual event info instead",Luna Ruan,2022-06-29T23:00:48Z
cd80d3274d48155d0f83347daab3eda57009f41b,"[DevTools] Add column number to viewSourceLineFunction (#24814)

Add column number for `viewSourceLineFunction` and renamed the function to `viewUrlSourceFunction` to match the other source function naming conventions",Luna Ruan,2022-06-29T17:38:27Z
f01e119b7d6b32104d37a7a9247fdd5a25bd29d2,"[DevTools] Log page URL in internal build (#24799)

* test log

* fix attribute name

* fix lint

* tabs can be empty

* improve coding style per comments",Mengdi Chen,2022-06-29T17:02:53Z
d1432ba93e971b249d7055dbb3b91e34eb0d2100,"[Transition Tracing] Fix excess calls to the transition start callback (#24806)

This PR fixes a bug where we would add a transition to the lanes map every time an update occurs. However, we didn't factor in that there might be multiple updates in a transition, which would cause the transition to be added multiple times to the transitionLanes map.

This changes the transitionLanes object from an Array of Arrays to an Array of Sets so that we only add a transition if it hasn't been added before, avoiding duplicates",Luna Ruan,2022-06-29T01:17:14Z
2e1c8841e97923e7af50c5c5311e3724b7b6555d,"[DevTools] front-end for profiling event stack (#24805)

* [DevTools] front-end for profiling event stack

Adds a side-bar to the profiling tab. Users can now select an update event, and are
shown the callstack from the originating component. When a source path is available
there is now UI to jump to source.

Add FB enabled feature flag: enableProfilerComponentTree for the side-bar.

resolves #24170",Blake Friedman,2022-06-28T21:15:24Z
88574c1b8bd4ed187f09a9c91d327784fe50dbe8,"Fix enableTransitionTracing flag (#24801)

Move `enableTransitionTracing` to `dynamicFeatureFlags` so it runs when you run `yarn test`",Luna Ruan,2022-06-28T17:09:59Z
a4bed469697a1e23c398fe80228df31ef6d4b612,"[Transition Tracing] Add Tracing Markers (#24686)

This PR adds support for Tracing Markers as well as onTracingMarkerComplete",Luna Ruan,2022-06-27T16:46:43Z
167853026cb193f81c0474d3bf9ef9e03dde203e,"fix hydration warning suppression in text comparisons (#24784)

* fix hydration warning suppression in text comparisons

* lint

* lowercase test",Josh Story,2022-06-26T19:22:10Z
652e6c5a1b2067cbe1964c6b4ec1af5ff295d7ed,"[sizebot] Add link to diff view (#24790)

Updates the sizebot output so that the file names link to a diff view of
the corresponding build artifact.

Example diff view: https://react-builds.vercel.app/commits/955cad9bcc6d755b2a672f8038fe9754e0fe5108/files/oss-stable-semver/react-dom/cjs/react-dom.production.min.js?compare=c3d7a7e3d72937443ef75b7e29335c98ad0f1424

The diff view itself is rendered by a Next.js app that I built as a side
project and is hosted at https://react-builds.vercel.app. If we find
this useful enough I could move the app to a React-owned repo but since
this isn't a critical feature it might be OK to leave it separate for
now, so we don't need to commit to supporting it indefinitely.",Andrew Clark,2022-06-25T23:13:41Z
955cad9bcc6d755b2a672f8038fe9754e0fe5108,"[DevTools] Clean Up DevTools Code (#24782)

This PR cleans up the DevTools codebase by:
* Consolidating `normalizeCodeLocInfo` into one place
* Remove unused source argument in the DevTools component stacks code",Luna Ruan,2022-06-23T22:47:47Z
9abe745aa748271be170c67cc43b09f62ca5f2dc,"[DevTools][Timeline Profiler] Component Stacks Backend (#24776)

This PR adds a component stack field to the `schedule-state-update` event. The algorithm is as follows:
* During profiling, whenever a state update happens collect the parents of the fiber that caused the state update and store it in a map
* After profiling finishes, post process the `schedule-state-update` event and using the parent fibers, generate the component stack by using`describeFiber`, a function that uses error throwing to get the location of the component by calling the component without props.

---

Co-authored-by: Blake Friedman <blake.friedman@gmail.com>",Luna Ruan,2022-06-23T18:19:23Z
cf665c4b73a28b034c8173f4d929205fb12d2d2e,"[DevTools] Refactor incompleteTransitions field from Root Fiber memoized state to FiberRoot (#24765)

`incompleteTransitions` persists across renders, so it should be part of the `fiber.stateNode` (ie FiberRoot) rather than `fiber.memoizedState`",Luna Ruan,2022-06-21T00:08:54Z
d6255f0ac4d3282272165a68f64ab3444d6790d3,[DevTool] fix build-for-devtools script (#24764),Mengdi Chen,2022-06-20T19:06:40Z
56389e81ffe17c97f3137f18cc6446a4b2c956de,"Abort Flight (#24754)

Add aborting to the Flight Server. This encodes the reason as an ""error""
row that gets thrown client side. These are still exposed in prod which
is a follow up we'll still have to do to encode them as digests instead.

The error is encoded once and then referenced by each row that needs to
be updated.",Sebastian Markbåge,2022-06-19T15:05:41Z
0f216ae31d91f882134707af99d5da9c01e1f603,"Add entry points for ""static"" server rendering passes (#24752)

This will be used to add optimizations for static server rendering.",Sebastian Markbåge,2022-06-19T02:34:31Z
f796fa13ad13ee9939cb7847bfa90ada860068b2,"Rename Segment to Task in Flight (#24753)

In Fizz this got split into Task and Segment. We don't have a concept of
Segment in Flight yet because we don't inline multiple segments into one
""Row"". We just emit one ""Row"" for each Segment if something suspends.

This makes Flight non-deterministic atm but that's something we'll want to
address.

Regardless, right now, this is more like a Task than a Segment.",Sebastian Markbåge,2022-06-18T19:02:11Z
0f0aca3ab35354040950ac0001fd4c01d70dceb4,"Aborting early should not infinitely suspend (#24751)

Before this change we weren't calling onError nor onFatalError if you abort
before completing the shell.

This means that the render never completes and hangs.

Aborting early can happen before even creating the stream for AbortSignal,
before rendering starts in Node since there's an setImmediate atm, or
during rendering.",Sebastian Markbåge,2022-06-18T15:01:58Z
12a738f1a87889bb5f7c4159641573fd04140664,"[Transition Tracing] Add Support for Multiple Transitions on Root (#24732)

We can think of transitions on the root as a bunch of tracing markers. Therefore, we can map each transition to a map of pending suspense boundaries. When a transition's pending suspense boundary map is empty, we know that it's complete. This PR:
* Combines the `pendingSuspenseBoundaries` and `transitions` into one `incompleteTransitions` object. This object is a map from a `transition` to a map of `pendingSuspenseBoundaries`
* Refactored code to make it so that every transition has its own `pendingSuspenseBoundaries` map rather than sharing just one.
* Moves the transition complete callback to the root. Alternatively, we can also keep a map of pendingSuspenseBoundaries to transitions on the Offscreen marker, but it's simpler to just call the transition complete callback on the root instead. We also only do this if there are transitions pending, so it shouldn't make too big of a difference",Luna Ruan,2022-06-17T20:43:46Z
72ebc703ac8abacd44fdeb1e3d66eb28b75e5a5b,"[DevTools] fix useDeferredValue to match reconciler change (#24742)

* [DevTools] fix useDeferredValue to match reconciler change

* fixup

* update test to catch original issue

* fix lint

* add safer tests for other composite hooks",Mengdi Chen,2022-06-17T18:43:10Z
a7c322c6f5fd33acfecf1d50dec4f911c3e9daf4,Fix typo in dangerfile.js (insiginificant -> insignificant) (#24393),Siyabend Ürün,2022-06-17T17:43:52Z
7cf9f5e03a245b4a879c5abc84e5ffb2824370e4,Extra space (#24612),Kerim Büyükakyüz,2022-06-17T17:43:17Z
229c86af07302d40b70c41de18106f80fe89836c,"Revert ""Land enableClientRenderFallbackOnTextMismatch"" (#24738)

This reverts commit 327e4a1f96fbb874001b17684fbb073046a84938.

Turns out we hadn't rolled this out internally yet — I mistook
enableClientRenderFallbackOnHydrationMismatch for
said enableClientRenderFallbackOnTextMismatch. Need to revert
until we finish rolling out the change.",Andrew Clark,2022-06-16T15:38:37Z
c3d7a7e3d72937443ef75b7e29335c98ad0f1424,"Bugfix: Offscreen instance is null during setState (#24734)

* [FORKED] Bugfix: Offscreen instance is null during setState

During a setState, we traverse up the return path and check if any
parent Offscreen components are currently hidden. To do that, we must
access the Offscreen fiber's `stateNode` field.

On a mounted Offscreen fiber, the `stateNode` is never null, so usually
we don't need to refine the type. When a fiber is unmounted, though,
we null out its `stateNode` field to prevent memory cycles. However,
we also null out its `return` field, so I had assumed that an unmounted
Offscreen fiber would never be reachable.

What I didn't consider is that it's possible to call `setState` on a
fiber that never finished mounting. Because it never mounted, it was
never deleted. Because it was never deleted, its `return` field was
never disconnected.

This pattern is always accompanied by a warning but we still need to
account for it. There may also be other patterns where an unmounted
Offscreen instance is reachable, too.

The discovery also suggests it may be better for memory
usage if we don't attach the `return` pointer until the commit phase,
though in order to do that we'd need some other way to track the return
pointer during initial render, like on the stack.

The fix is to add a null check before reading the instance
during setState.

* Add previous commit to list of forked revisions",Andrew Clark,2022-06-16T02:13:22Z
fcd720d3631a23a9e273db60bf2d35ff5f7dc406,"[Transition Tracing] Push Transition When Offscreen Becomes Visible (#24718)

This PR pushes all of a suspense boundary's transitions onto the transition stack when it goes from hidden to visible so we can pass it to any child suspense boundaries or tracing markers.",Luna Ruan,2022-06-15T18:51:51Z
522f47345f79bb117f338384e75c8a79622bd735,"Move the Error creation to be lazy (#24728)

Creating an Error captures a stack trace which can be somewhat expensive.
We shouldn't do tthat always for every render.

This also ensures that the stack trace is more useful because you can
follow through the Node.js code to see the cause.",Sebastian Markbåge,2022-06-15T00:16:42Z
