SHA,Message,Author,Date
ec78fc8b6d03e59da669be1adf4b4b5abf670a34,build: release 2.6.11,Evan You,2019-12-13T19:58:40Z
a98048fa67bb686eced6eacec156caccd33b8676,build: build 2.6.11,Evan You,2019-12-13T19:58:37Z
fc41f913124b4c9cfdc9670392009774c7fc85ad,chore: update yarn.lock,Evan You,2019-12-13T19:51:41Z
70429c3713a497c0659fb67d61b000a3125325d2,build(deps-dev): bump serialize-javascript from 1.3.0 to 2.1.2 (#10914),Mateus Velleda Vellar,2019-12-13T19:49:40Z
9fbd416635eb3d7b32cd73b7c29f8377003c4dc8,chore: update sponsors [ci skip] (#10896),vue-bot,2019-12-08T15:57:51Z
a9740225c85d8de7594a3dfcb8f18f573d4426e5,chore: update backers [ci skip] (#10895),vue-bot,2019-12-08T15:57:10Z
6b4c0f9c89899f89a3ef258fb0599d78bef65664,chore: typo in comment,7006,2019-12-05T13:39:22Z
fd0eaf92948bb5a4882d538362091fb287d642e3,chore: update sponsors [ci skip] (#10841),vue-bot,2019-11-19T14:04:02Z
2c6a827b39d824f87239dc124a0e3f0895d43247,chore: update sponsors [ci skip] (#10821),vue-bot,2019-11-12T17:01:39Z
f796ab4983f3b4066ef9a49dc654f1ee66fc3d34,chore: update sponsors [ci skip] (#10800),vue-bot,2019-11-12T16:59:10Z
276c0829c0daac8133751b32ba759070ff5555a8,chore: update backers [ci skip] (#10799),vue-bot,2019-11-12T16:58:55Z
4821149b8bbd4650b1d9c9c3cfbb539ac1e24589,fix(types): fix prop constructor type inference (#10779),katashin,2019-10-30T14:45:29Z
9f5563c0e1a4f32188a293e72052bc48a340d4b1,chore: update sponsors [ci skip],Evan You,2019-10-28T15:38:36Z
b805a1922c75ddee6192e4decdac10987263df9d,"build(deps-dev): bump lodash.template from 4.4.0 to 4.5.0 (#10636)

Bumps [lodash.template](https://github.com/lodash/lodash) from 4.4.0 to 4.5.0.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.4.0...4.5.0)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-10-28T15:31:47Z
bd47e5b85d9afc6306dbd734bae67feea7818064,"build(deps-dev): bump lodash from 4.17.11 to 4.17.13 (#10635)

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.11 to 4.17.13.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.11...4.17.13)

Signed-off-by: dependabot[bot] <support@github.com>",dependabot[bot],2019-10-28T15:31:33Z
